PC,Pick up car,TCX,2717,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID21s2ng8u6,,,,0,,,empty
PC,Pick up car,PRR,0420,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDmlbxfkxhko3r,,,,0,,,empty
PC,Pick up car,CS,0073,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDnwe3naw68ctq,,,,0,,,empty
PC,Pick up car,ACL,5093,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDnso2dmbdsikr,,,,0,,,empty
PC,Pick up car,PRR,7049,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID7np0l5h6nasj,,,,0,,,empty
TD,Train Departs,City,East
TL,Train Length Empties Cars,1232,1,27
TW,Train Weight,36
LN,Location Name,Easton
AT,Arrival Time,05:41
EDT,Estimated Departure Time,07:02
SL,Set out loco,PRR,025,I1s,40,ESHF,,Train Service,Roundhouse,Easton,E1,,,,,IDrp7xy6isgoro,
SC,Set out car,PRR,4193,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDd8tf1s2l21v4,,,,0,,,empty
SC,Set out car,PL,8533,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDobepn5g9sawb,,,,0,,,empty
SC,Set out car,UTLX,4974,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDl709e2xv1ecs,,,,0,,,empty
SC,Set out car,AT&SF,8248,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDillskmhsf6h5,,,,0,,,empty
SC,Set out car,WJ&S,4217,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDwgyak9987pss,,,,0,,,empty
SC,Set out car,WJ&S,3512,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDv08whycsptq8,,,,0,,,empty
SC,Set out car,TCX,5324,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDekhz1zyqff4l,,,,0,,,empty
SC,Set out car,ACL,0395,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDunwg4ffl8d4l,,,,0,,,empty
SC,Set out car,TELX,2341,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDi3q9ju20qg28,,,,0,,,empty
SC,Set out car,ER,2343,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDphk5zzia5vzn,,,,0,,,empty
SC,Set out car,DL&W,7085,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDk3ugw27r2fmu,,,,0,,,empty
SC,Set out car,WJ&S,8346,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDbkg0a41uz6ni,,,,0,,,empty
SC,Set out car,P&R,7622,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDjmm5dvoh8ibr,,,,0,,,empty
SC,Set out car,CS,1705,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDthnbnnt2bx6p,,,,0,,,empty
SC,Set out car,WJ&S,4790,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDccmqqkoyqlkv,,,,0,,,empty
SC,Set out car,PRR,1215,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDkefdw8008p8f,,,,0,,,empty
SC,Set out car,NYC,4619,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDqo2ynhj3pd4m,,,,0,,,empty
SC,Set out car,CS,3014,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDd8s2jzzs25z8,,,,0,,,empty
SC,Set out car,PRR,1896,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDco07gnx4qqt5,,,,0,,,empty
SC,Set out car,B&O,1529,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDdjqq7t37zvb3,,,,0,,,empty
SC,Set out car,UTLX,9649,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID10n2uqk18mgx,,,,0,,,empty
SC,Set out car,TCX,2717,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID21s2ng8u6,,,,0,,,empty
SC,Set out car,PRR,0420,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDmlbxfkxhko3r,,,,0,,,empty
SC,Set out car,CS,0073,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDnwe3naw68ctq,,,,0,,,empty
SC,Set out car,ACL,5093,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDnso2dmbdsikr,,,,0,,,empty
SC,Set out car,PRR,7049,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID7np0l5h6nasj,,,,0,,,empty
SC,Set out car,PRR,386,NE,40,E,Generic,Train Service,Cabin Track,Easton,E1,,,,,,C,,,IDic4678ybd1aj,,,,0,,,Empty
TT,Train Terminates,Easton
