PC,Pick up car,LV,7577,XM,40,Goods,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,load
PC,Pick up car,NYNH&H,4979,XM,40,Goods,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,load
PC,Pick up car,B&A,5360,FM,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,SP,2996,GB,40,Empty,Generic,Downtown,Sand,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,NYC,0574,GB,40,sand,Generic,Train Service,OB-Downtown,Downtown,Sand,,,,,,,,,,,,,0,,,load
HOLD,Hold Car,PRR,0107,Bd,40,Express,Generic,Downtown,DX,,,,,,,,,,,,,,,0,,,load
HOLD,Hold Car,PRR,6485,CA,40,Express,Generic,Downtown,DX,,,,,,,,,,,,,,,0,,,load
TD,Train Departs,Downtown,East
TL,Train Length Empties Cars,660,0,15
TW,Train Weight,0
LN,Location Name,City
AT,Arrival Time,18:06
EDT,Estimated Departure Time,18:51
SC,Set out car,B&O,4601,HK,40,Empty,Generic,Downtown,Coal,City,Receiving 1,,,,,,,,,,,,,0,Northton,,empty
SC,Set out car,P&R,2756,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
SC,Set out car,P&R,1315,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
SC,Set out car,PL,5884,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
SC,Set out car,B&A,3657,GB,40,Empty,Generic,Downtown,Gantry Crane,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,ER,5365,GB,40,Empty,Generic,Downtown,Gantry Crane,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,CNJ,2995,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,PRR,6999,FM,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,CS,5997,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,AT&SF,9192,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,SP,7403,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,LV,7577,XM,40,Goods,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,load
SC,Set out car,NYNH&H,4979,XM,40,Goods,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,load
SC,Set out car,B&A,5360,FM,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
SC,Set out car,SP,2996,GB,40,Empty,Generic,Downtown,Sand,City,Receiving 1,,,,,,,,,,,,,0,,,empty
TD,Train Departs,City,East
TL,Train Length Empties Cars,0,0,0
TW,Train Weight,0
LN,Location Name,Train Service
AT,Arrival Time,18:55
EDT,Estimated Departure Time,18:55
TT,Train Terminates,Train Service
