PC,Pick up car,FGEX,2420,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDsptgk3fh144m,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2534,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDhnk8dtlbhkhy,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2746,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDqdgfpxfowi9d,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2851,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDruua2j4dp5c4,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,3251,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDoy6613zn1xio,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,6135,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID8fh29qr2osqc,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,8387,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDh3v6ivoh1x1o,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,9060,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDupn67kvttdm0,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,9138,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDfl6k2va0sr8a,,,,0,Valley,Produce,load
PC,Pick up car,WJ&S,5624,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDvu9zh5u9cb6e,,,,0,Valley,Depot,load
PC,Pick up car,WJ&S,6658,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID7ps46r8j3ucq,,,,0,Valley,Depot,load
PC,Pick up car,CS,5981,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID4i4e9zj9uy9v,,,,0,Valley,Depot,load
TD,Train Departs,City,North
TL,Train Length Empties Cars,1012,1,22
TW,Train Weight,36
LN,Location Name,Midway
AT,Arrival Time,06:21
EDT,Estimated Departure Time,08:18
PC,Pick up car,FGEX,0914,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID0fxvppaunanu,,,,0,Easton,,load
PC,Pick up car,FGEX,0464,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDa2fuil86tuft,,,,0,Easton,,load
PC,Pick up car,FGEX,2108,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDu6yn6w9q3iv9,,,,0,Easton,,load
PC,Pick up car,FGEX,2140,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDv9m4n1iyc0rh,,,,0,Easton,,load
PC,Pick up car,FGEX,2504,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID6zdlsfunznpu,,,,0,Easton,,load
PC,Pick up car,FGEX,3250,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDcti55dmxu09p,,,,0,Easton,,load
PC,Pick up car,FGEX,4784,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDjh4w2z9zw5w5,,,,0,Easton,,load
PC,Pick up car,FGEX,6112,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDvjr7m6e2uy97,,,,0,Easton,,load
PC,Pick up car,FGEX,6669,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDcry6gh18yabo,,,,0,Easton,,load
PC,Pick up car,FGEX,6983,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID20krd12o0wa,,,,0,Easton,,load
PC,Pick up car,FGEX,7836,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID1d2xl9m4ws4,,,,0,Easton,,load
PC,Pick up car,FGEX,9054,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDrlktkfjjg5xa,,,,0,Easton,,load
PC,Pick up car,CS,1705,GB,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDthnbnnt2bx6p,,,,0,Easton,,empty
PC,Pick up car,NYC,4619,XM,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDqo2ynhj3pd4m,,,,0,Easton,,empty
PC,Pick up car,CS,3014,XM,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDd8s2jzzs25z8,,,,0,Easton,,empty
PC,Pick up car,B&O,7676,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDvjxpuh3qxcxh,,,,0,Northton,,empty
PC,Pick up car,B&O,6073,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,ID0z9q371a7y6d,,,,0,Northton,,empty
PC,Pick up car,PRR,6446,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDy08rdw284q98,,,,0,Northton,,empty
SC,Set out car,B&A,1434,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDg7y5wlzn92ig,,,,0,Junction,Depot,load
SC,Set out car,WJ&S,3565,XM,40,Empty,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDkl56e079tvnx,,,,0,Junction,Steel Products,empty
SC,Set out car,SP,2604,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDcnl1flxniaxc,,,,0,Junction,Depot,load
SC,Set out car,PL,5550,GB,40,Empty,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDinfczzltrxey,,,,0,Junction,Steel Products,empty
SC,Set out car,DL&W,0237,XM,40,Merchandise,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID1rq1sunkh7jn,,,,0,Valley,General Delivery,load
SC,Set out car,PRR,1035,XM,40,Merchandise,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID1zqhyvo8dxxb,,,,0,Valley,General Delivery,load
SC,Set out car,FGEX,9586,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDv1wq1cfvnk4a,,,,0,Valley,Produce,load
SC,Set out car,FGEX,0775,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID5hsqgn36j9my,,,,0,Valley,Produce,load
SC,Set out car,FGEX,2300,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID4ln8kzuc6877,,,,0,Valley,Produce,load
SC,Set out car,FGEX,2420,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDsptgk3fh144m,,,,0,Valley,Produce,load
SC,Set out car,FGEX,2534,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDhnk8dtlbhkhy,,,,0,Valley,Produce,load
SC,Set out car,FGEX,2746,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDqdgfpxfowi9d,,,,0,Valley,Produce,load
SC,Set out car,FGEX,2851,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDruua2j4dp5c4,,,,0,Valley,Produce,load
SC,Set out car,FGEX,3251,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDoy6613zn1xio,,,,0,Valley,Produce,load
SC,Set out car,FGEX,6135,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID8fh29qr2osqc,,,,0,Valley,Produce,load
SC,Set out car,FGEX,8387,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDh3v6ivoh1x1o,,,,0,Valley,Produce,load
SC,Set out car,FGEX,9060,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDupn67kvttdm0,,,,0,Valley,Produce,load
SC,Set out car,FGEX,9138,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDfl6k2va0sr8a,,,,0,Valley,Produce,load
SC,Set out car,WJ&S,5624,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDvu9zh5u9cb6e,,,,0,Valley,Depot,load
SC,Set out car,WJ&S,6658,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID7ps46r8j3ucq,,,,0,Valley,Depot,load
SC,Set out car,CS,5981,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID4i4e9zj9uy9v,,,,0,Valley,Depot,load
TD,Train Departs,Midway,South
TL,Train Length Empties Cars,880,1,19
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,08:22
EDT,Estimated Departure Time,09:16
SC,Set out car,FGEX,0914,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID0fxvppaunanu,,,,0,Easton,,load
SC,Set out car,FGEX,0464,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDa2fuil86tuft,,,,0,Easton,,load
SC,Set out car,FGEX,2108,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDu6yn6w9q3iv9,,,,0,Easton,,load
SC,Set out car,FGEX,2140,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDv9m4n1iyc0rh,,,,0,Easton,,load
SC,Set out car,FGEX,2504,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID6zdlsfunznpu,,,,0,Easton,,load
SC,Set out car,FGEX,3250,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDcti55dmxu09p,,,,0,Easton,,load
SC,Set out car,FGEX,4784,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDjh4w2z9zw5w5,,,,0,Easton,,load
SC,Set out car,FGEX,6112,RS,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDvjr7m6e2uy97,,,,0,Easton,,load
SC,Set out car,FGEX,6669,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDcry6gh18yabo,,,,0,Easton,,load
SC,Set out car,FGEX,6983,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID20krd12o0wa,,,,0,Easton,,load
SC,Set out car,FGEX,7836,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,ID1d2xl9m4ws4,,,,0,Easton,,load
SC,Set out car,FGEX,9054,RB,40,Produce,Generic,Midway,Interchange,City,Hold 2,,R4,,,,,,,IDrlktkfjjg5xa,,,,0,Easton,,load
SC,Set out car,CS,1705,GB,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDthnbnnt2bx6p,,,,0,Easton,,empty
SC,Set out car,NYC,4619,XM,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDqo2ynhj3pd4m,,,,0,Easton,,empty
SC,Set out car,CS,3014,XM,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDd8s2jzzs25z8,,,,0,Easton,,empty
SC,Set out car,B&O,7676,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDvjxpuh3qxcxh,,,,0,Northton,,empty
SC,Set out car,B&O,6073,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,ID0z9q371a7y6d,,,,0,Northton,,empty
SC,Set out car,PRR,6446,HK,40,Empty,Generic,Midway,Interchange,City,Hold 2,,,,,,,,,IDy08rdw284q98,,,,0,Northton,,empty
TD,Train Departs,City,South
TL,Train Length Empties Cars,88,1,1
TW,Train Weight,36
LN,Location Name,Train Service
AT,Arrival Time,09:20
EDT,Estimated Departure Time,09:23
SL,Set out loco,PRR,720,H9s,40,ESLF,,Train Service,Roundhouse,Train Service,Roundhouse,,,,,IDms4t4dupm2y7,
SC,Set out car,PRR,235,NM-Valley,40,E,Generic,Train Service,Cabin Track,Train Service,Cabin Track,,,,,,C,,,ID8etszdlyjckc,,,,0,,,Empty
TT,Train Terminates,Train Service
